crop,location,soil_type,growing_season,ph,temperature,rainfall,humidity,irrigation,fertilizer,previous_yield,area,n_content,p_content,k_content,yield
Potato,Great Plains,Loamy,Kharif,7.45,29.9,1622.1,62.7,490.4,183.8,10.77,20.7,161.6,74.3,29.3,12.58
Potato,Pacific Northwest,Alluvial,Summer,7.59,24.0,1753.8,81.2,495.8,124.3,14.25,42.7,79.7,53.3,33.1,14.3
Cotton,Great Plains,Sandy Loam,Kharif,7.08,32.7,373.6,86.5,226.4,155.0,1.37,3.3,178.9,44.9,119.6,1.44
Wheat,Pacific Northwest,Sandy Loam,Rabi,7.83,17.9,872.6,44.1,631.6,199.2,3.2,43.8,47.3,58.8,92.6,3.05
Cotton,Midwest,Silt Loam,Kharif,5.2,25.5,542.4,51.3,644.0,52.1,1.68,35.5,137.4,72.2,118.8,1.67
Potato,Pacific Northwest,Clay,Spring,6.35,30.6,498.5,55.7,804.8,81.5,12.18,4.5,148.3,67.7,33.3,12.52
Soybean,Midwest,Loamy,Autumn,7.03,19.3,859.2,50.7,698.6,261.6,2.24,28.6,126.3,46.0,41.7,2.26
Rice,Midwest,Loamy,Autumn,6.25,24.6,1497.1,52.4,615.7,107.1,4.21,36.8,124.1,65.5,48.5,3.69
Soybean,Central Valley,Alluvial,Summer,7.02,19.8,918.0,72.3,727.0,232.6,1.69,11.1,73.5,42.0,44.1,2.1
Soybean,Delta Region,Loamy,Autumn,5.24,23.2,808.9,59.3,771.2,146.8,2.31,44.5,116.5,27.1,67.1,2.11
Cotton,Central Valley,Loamy,Autumn,5.99,16.8,437.7,79.5,505.3,194.6,2.22,4.3,110.1,44.1,90.2,1.95
Rice,Pacific Northwest,Black Soil,Autumn,6.03,22.2,1091.4,50.2,746.4,173.4,4.47,31.2,94.7,59.4,103.5,4.15
Soybean,Pacific Northwest,Loamy,Summer,7.39,32.9,434.0,44.3,447.6,154.3,2.88,35.2,125.2,36.7,94.2,2.56
Soybean,Midwest,Loamy,Kharif,7.3,19.3,1731.9,66.2,726.4,215.8,2.12,35.7,63.4,23.9,98.1,2.12
Corn,Pacific Northwest,Loamy,Kharif,6.49,26.5,731.3,88.8,602.0,164.1,5.05,17.4,111.5,18.9,105.9,5.27
Wheat,Southeast,Clay,Summer,7.88,29.5,517.2,77.0,102.1,247.5,2.74,38.9,41.7,18.2,56.4,2.74
Wheat,Midwest,Loamy,Autumn,7.34,29.1,675.5,52.4,832.7,123.6,3.71,40.4,155.6,55.0,31.9,3.02
Soybean,Central Valley,Clay,Rabi,8.14,35.1,449.9,63.3,325.8,244.3,1.81,40.4,85.8,53.7,20.8,1.63
Wheat,Southeast,Black Soil,Summer,5.93,23.4,1759.2,89.9,720.7,218.5,3.07,37.2,116.5,70.7,35.1,3.14
Potato,Central Valley,Clay,Autumn,7.72,33.5,1728.9,40.1,625.8,245.3,17.77,18.0,141.8,22.3,73.0,14.22
Wheat,Great Plains,Silt Loam,Kharif,5.63,21.6,413.7,51.6,776.4,145.0,3.98,48.7,165.4,47.1,94.8,3.29
Tomato,Central Valley,Black Soil,Rabi,6.38,27.8,440.3,73.1,204.6,117.1,13.4,32.2,159.1,79.8,59.3,15.85
Cotton,Pacific Northwest,Sandy Loam,Summer,5.9,34.9,547.4,78.5,187.2,74.3,1.9,23.2,102.9,37.0,32.1,1.66
Corn,Midwest,Silt Loam,Summer,7.76,17.8,1521.0,55.2,663.8,188.8,3.17,23.7,70.1,75.0,34.8,3.58
Soybean,Midwest,Sandy Loam,Spring,7.23,21.2,1786.5,41.6,423.5,154.0,1.77,26.2,144.7,32.5,66.2,1.88
Cotton,Midwest,Loamy,Kharif,7.54,20.4,637.3,60.0,649.0,265.6,1.9,4.0,51.8,56.0,111.7,1.72
Rice,Central Valley,Loamy,Rabi,6.53,18.6,1662.4,81.5,365.2,59.8,3.51,45.2,104.5,26.8,77.4,3.26
Cotton,Pacific Northwest,Silt Loam,Spring,7.25,19.5,661.3,49.4,323.9,253.2,1.78,2.4,44.9,58.3,44.6,1.82
Corn,Great Plains,Silt Loam,Autumn,5.46,23.7,957.9,72.1,737.8,107.3,3.92,24.5,179.2,53.1,22.0,4.27
Potato,Pacific Northwest,Sandy Loam,Spring,6.65,34.3,1078.5,59.4,243.9,123.3,13.35,27.7,70.7,77.7,97.9,12.75
Rice,Great Plains,Black Soil,Summer,8.2,35.5,495.2,72.8,313.2,237.7,3.74,38.6,168.4,18.9,119.6,3.32
Wheat,Delta Region,Silt Loam,Summer,8.17,19.5,693.0,55.9,690.5,132.5,2.93,46.8,122.8,64.2,55.2,2.75
Tomato,Delta Region,Clay,Autumn,7.71,32.2,1757.1,67.1,240.4,58.7,23.3,47.5,47.9,57.1,22.0,17.89
Potato,Central Valley,Sandy Loam,Autumn,5.59,30.3,1682.2,82.2,358.9,55.0,12.98,10.9,122.1,79.2,97.4,12.06
Cotton,Delta Region,Sandy Loam,Kharif,8.03,23.9,496.5,55.1,209.2,86.2,1.77,19.3,172.8,70.4,116.1,1.59
Soybean,Southeast,Clay,Autumn,7.99,31.7,673.7,69.4,240.3,120.6,2.4,35.0,136.4,23.9,92.9,2.2
Soybean,Delta Region,Silt Loam,Autumn,7.01,34.4,1752.9,51.0,552.4,265.4,2.02,2.6,59.7,67.2,43.8,1.95
Corn,Midwest,Alluvial,Kharif,7.21,30.6,836.8,40.6,267.7,209.4,4.41,41.3,89.1,70.1,92.0,4.24
Rice,Great Plains,Silt Loam,Spring,7.85,25.9,899.1,67.3,181.1,160.3,2.94,48.5,161.0,60.6,88.7,3.55
Wheat,Great Plains,Loamy,Kharif,6.16,35.0,457.6,48.5,400.4,218.4,3.99,15.5,116.6,77.9,29.3,3.42
Tomato,Delta Region,Silt Loam,Kharif,7.16,28.1,979.6,42.7,364.9,274.1,19.56,22.1,97.3,53.8,112.6,19.36
Tomato,Southeast,Alluvial,Summer,5.49,23.9,1147.0,64.5,143.6,50.9,26.31,15.6,52.3,72.7,82.5,21.34
Potato,Midwest,Loamy,Kharif,7.11,35.5,1036.7,45.8,727.9,158.3,14.22,11.1,165.3,33.6,84.2,13.38
Potato,Midwest,Sandy Loam,Spring,6.54,21.3,1024.3,51.3,314.8,64.2,11.01,19.1,145.3,61.7,28.6,12.87
Corn,Delta Region,Silt Loam,Autumn,5.38,23.7,1107.7,88.3,649.7,265.4,4.08,12.1,120.2,31.5,49.9,4.05
Potato,Pacific Northwest,Loamy,Autumn,6.75,27.4,1775.0,47.4,859.4,153.3,13.09,29.0,172.9,26.7,41.2,12.41
Wheat,Midwest,Loamy,Spring,7.25,20.0,1542.7,47.4,576.0,123.5,4.01,4.8,141.8,71.5,28.7,3.52
Tomato,Great Plains,Black Soil,Summer,6.76,34.3,367.9,75.0,570.1,229.8,17.98,43.0,55.8,25.5,76.7,19.05
Tomato,Central Valley,Loamy,Autumn,7.56,33.3,1626.2,83.9,311.3,200.6,18.21,39.2,120.1,48.1,37.2,16.11
Potato,Midwest,Black Soil,Autumn,6.41,23.9,1624.5,74.5,139.4,159.3,17.81,34.4,77.6,41.1,53.8,16.65
Cotton,Southeast,Sandy Loam,Summer,7.77,29.7,1760.1,51.4,340.4,221.1,1.52,42.3,148.4,37.5,92.9,1.52
Tomato,Pacific Northwest,Loamy,Rabi,7.94,24.1,1052.5,65.8,399.1,62.9,15.64,22.6,150.8,19.6,91.0,15.12
Potato,Midwest,Black Soil,Autumn,5.78,32.7,1563.6,52.5,465.2,261.1,16.51,2.4,138.6,34.2,102.4,15.2
Tomato,Great Plains,Alluvial,Kharif,5.93,25.8,996.8,88.0,479.7,176.8,14.22,34.4,88.2,73.6,45.9,17.28
Cotton,Pacific Northwest,Loamy,Summer,5.35,33.1,1480.8,50.7,277.1,101.8,1.62,2.3,68.9,60.6,71.3,1.57
Cotton,Pacific Northwest,Loamy,Spring,7.14,28.0,362.3,52.6,744.1,120.3,1.64,45.7,175.4,60.0,62.4,1.71
Potato,Southeast,Silt Loam,Summer,6.11,26.4,1254.2,69.2,105.9,279.9,14.61,11.7,175.3,73.8,76.1,13.64
Tomato,Delta Region,Sandy Loam,Summer,6.65,22.7,750.9,56.3,321.5,200.9,18.73,34.5,173.3,60.6,38.8,18.45
Tomato,Midwest,Loamy,Autumn,6.16,18.8,386.9,64.9,336.5,258.6,17.35,20.8,96.6,66.6,78.3,16.55
Tomato,Midwest,Sandy Loam,Rabi,7.11,25.5,1714.0,57.9,340.2,89.1,16.44,34.6,132.1,54.1,49.4,16.61
Potato,Midwest,Alluvial,Summer,6.88,34.3,1723.0,85.0,623.5,101.1,15.59,36.5,71.3,76.0,62.0,13.25
Corn,Southeast,Sandy Loam,Autumn,7.75,25.4,1606.3,69.2,855.4,66.4,4.67,15.4,164.5,50.0,106.7,4.28
Potato,Delta Region,Sandy Loam,Spring,7.76,18.7,640.4,60.5,555.5,258.5,10.87,3.6,104.1,37.1,91.6,12.77
Cotton,Central Valley,Silt Loam,Summer,5.73,28.7,356.8,53.7,709.0,88.8,1.62,31.9,147.0,49.3,96.4,1.73
Rice,Midwest,Black Soil,Spring,6.41,35.3,905.8,41.9,259.5,135.8,3.36,32.0,42.0,37.6,103.3,3.29
Wheat,Central Valley,Alluvial,Kharif,5.95,29.9,849.3,46.4,406.8,185.4,2.42,31.7,63.4,72.7,49.8,2.78
Corn,Great Plains,Alluvial,Autumn,6.21,33.8,1793.4,57.1,821.1,132.6,4.78,30.2,66.4,81.4,111.8,4.22
Potato,Central Valley,Clay,Rabi,5.59,30.7,1205.1,48.4,393.3,199.6,15.89,36.6,45.2,76.4,45.6,12.97
Tomato,Delta Region,Loamy,Autumn,7.19,29.1,378.6,74.5,433.4,137.5,17.82,49.7,116.6,48.2,35.3,17.43
Soybean,Pacific Northwest,Alluvial,Kharif,7.18,29.2,741.5,70.3,209.7,241.1,1.98,15.8,54.7,65.3,31.8,2.19
Rice,Central Valley,Silt Loam,Rabi,7.53,32.6,1761.0,57.9,427.8,86.9,3.31,30.8,116.7,78.7,88.8,3.17
Potato,Southeast,Clay,Kharif,5.47,18.2,1182.5,64.7,859.6,229.3,16.69,1.6,50.5,65.7,110.5,13.95
Soybean,Midwest,Silt Loam,Summer,5.35,32.3,1617.5,82.6,388.2,205.7,2.48,13.9,99.6,23.1,105.1,2.0
Rice,Central Valley,Clay,Rabi,7.88,35.1,739.0,76.7,398.1,128.8,4.1,17.1,55.9,43.0,65.7,3.8
Cotton,Great Plains,Alluvial,Spring,7.15,31.9,513.9,74.8,146.9,266.8,1.13,40.2,62.3,44.1,79.1,1.47
Cotton,Delta Region,Alluvial,Spring,6.34,23.2,391.8,74.2,770.8,273.9,1.96,9.9,58.3,79.4,31.3,1.95
Potato,Great Plains,Loamy,Kharif,6.14,30.1,1333.0,78.4,561.3,180.0,15.31,13.8,176.9,61.9,53.8,14.1
Tomato,Pacific Northwest,Alluvial,Autumn,7.19,21.0,851.3,73.8,407.9,243.0,18.23,5.7,118.2,84.1,25.5,17.77
Soybean,Midwest,Black Soil,Spring,7.81,17.5,1062.9,52.0,876.1,61.6,2.59,42.7,71.2,60.0,60.3,2.12
Wheat,Central Valley,Silt Loam,Spring,6.54,33.1,998.2,45.9,497.9,200.3,3.36,40.3,54.4,43.9,75.7,3.15
Rice,Central Valley,Black Soil,Autumn,7.87,27.2,1299.2,62.8,372.7,239.8,3.52,32.2,154.3,74.1,53.2,3.54
Cotton,Delta Region,Black Soil,Spring,6.29,25.1,491.3,72.9,101.8,131.7,1.91,36.1,128.7,71.0,74.8,1.78
Corn,Pacific Northwest,Loamy,Kharif,6.68,32.4,1426.6,60.5,303.4,95.1,4.8,44.9,56.9,74.7,41.6,5.0
Cotton,Midwest,Alluvial,Summer,6.44,34.5,1564.3,69.4,717.7,153.6,2.04,6.3,132.2,81.9,33.5,1.78
Potato,Central Valley,Black Soil,Kharif,6.5,27.7,1690.3,79.1,828.1,209.1,17.11,28.1,64.3,72.1,30.4,14.41
Soybean,Delta Region,Black Soil,Summer,6.35,35.6,1678.1,78.1,318.9,271.6,1.53,25.7,175.9,46.7,33.3,1.74
Potato,Delta Region,Alluvial,Autumn,7.3,33.2,1382.2,86.8,606.1,96.2,10.43,15.6,127.4,35.3,54.5,11.33
Soybean,Midwest,Alluvial,Rabi,7.28,22.4,517.3,57.6,484.3,181.2,2.21,25.7,133.4,44.2,94.8,2.4
Cotton,Delta Region,Sandy Loam,Spring,6.77,16.5,560.7,73.5,259.9,222.5,1.89,40.6,62.5,35.1,45.1,1.76
Cotton,Central Valley,Alluvial,Summer,6.82,23.2,1006.3,70.8,640.4,179.2,2.02,11.0,71.4,60.3,58.9,1.81
Tomato,Pacific Northwest,Sandy Loam,Kharif,6.36,35.1,1764.9,55.6,541.7,53.0,18.64,46.4,75.2,58.4,98.1,16.94
Cotton,Great Plains,Clay,Summer,6.84,28.1,1475.4,88.2,335.3,90.8,1.4,38.0,135.6,28.1,37.4,1.7
Tomato,Central Valley,Silt Loam,Kharif,6.87,18.6,1196.8,52.8,364.5,213.2,18.91,22.0,61.7,25.8,52.3,17.91
Rice,Pacific Northwest,Black Soil,Summer,6.92,23.2,1486.8,55.9,276.0,92.3,4.16,25.0,49.5,50.4,61.6,4.33
Tomato,Great Plains,Loamy,Summer,5.84,22.6,873.2,50.9,702.1,172.0,18.49,11.8,179.5,72.7,118.1,18.68
Rice,Central Valley,Alluvial,Summer,7.91,28.3,1250.6,87.9,646.0,123.8,3.54,22.8,168.2,81.1,58.6,3.44
Tomato,Pacific Northwest,Sandy Loam,Kharif,7.67,23.5,1514.1,62.3,135.1,256.6,20.24,45.7,67.0,51.0,114.8,17.65
Wheat,Delta Region,Black Soil,Kharif,5.83,28.6,659.1,74.3,768.5,97.3,3.23,31.7,156.0,76.5,94.1,2.95
Potato,Pacific Northwest,Loamy,Rabi,7.35,16.8,456.2,48.9,301.5,66.2,15.54,2.2,155.0,78.8,60.8,14.55
Potato,Pacific Northwest,Silt Loam,Spring,6.37,18.4,358.6,76.0,150.6,221.6,16.76,16.5,46.4,74.4,55.8,14.94
Tomato,Central Valley,Sandy Loam,Summer,6.04,34.5,903.0,81.1,124.7,86.0,17.27,30.7,70.8,67.3,99.7,15.76
Cotton,Delta Region,Sandy Loam,Rabi,7.86,35.3,1607.4,72.4,865.9,52.6,1.68,15.6,162.5,24.9,24.2,1.53
Tomato,Delta Region,Silt Loam,Autumn,5.46,20.2,1425.1,76.3,269.4,258.3,20.04,27.8,159.2,25.0,38.4,17.24
Tomato,Southeast,Clay,Kharif,7.6,33.0,1584.5,86.6,895.5,156.1,20.35,9.9,117.0,35.3,26.7,18.05
Rice,Midwest,Alluvial,Autumn,6.19,18.6,1300.4,45.0,595.6,257.0,4.04,24.9,84.5,46.5,81.6,4.18
Corn,Pacific Northwest,Black Soil,Rabi,6.29,22.3,971.0,40.2,296.9,101.0,4.07,28.7,143.6,45.5,104.0,4.23
Wheat,Pacific Northwest,Alluvial,Summer,6.59,23.2,792.9,67.6,240.6,189.5,2.35,44.0,157.9,75.1,34.0,3.23
Tomato,Midwest,Sandy Loam,Kharif,7.88,33.0,1265.9,80.6,563.1,226.9,19.77,36.6,69.8,17.6,46.1,17.17
Tomato,Great Plains,Alluvial,Rabi,5.87,31.4,1413.2,54.5,471.8,167.4,18.76,18.9,95.5,50.2,86.3,17.78
Cotton,Delta Region,Alluvial,Rabi,5.62,19.2,1171.2,68.3,797.8,83.6,2.46,38.1,142.5,80.7,24.0,1.9
Cotton,Great Plains,Clay,Kharif,5.9,29.4,1100.9,79.6,410.5,261.1,1.83,14.0,163.4,17.8,84.9,1.86
Rice,Pacific Northwest,Black Soil,Summer,5.99,26.9,602.1,72.7,392.2,200.3,4.07,41.9,157.0,51.2,57.6,4.02
Wheat,Delta Region,Silt Loam,Summer,6.24,31.9,1636.4,40.3,805.6,151.2,2.82,41.0,72.2,51.0,48.1,2.86
Wheat,Midwest,Clay,Summer,7.65,29.2,951.2,56.5,190.7,205.3,4.1,30.5,107.1,56.4,84.7,3.48
Potato,Central Valley,Clay,Kharif,6.98,18.7,1093.3,84.5,217.5,88.3,17.97,7.3,169.1,51.2,60.5,15.33
Tomato,Pacific Northwest,Loamy,Summer,5.85,28.1,1033.5,64.1,275.5,144.5,15.33,47.4,60.0,55.8,96.7,17.06
Tomato,Pacific Northwest,Black Soil,Summer,7.26,34.4,1215.0,43.4,402.6,80.4,18.15,9.2,42.3,51.6,110.9,17.95
Soybean,Great Plains,Clay,Autumn,6.63,28.3,406.6,79.2,502.7,77.0,1.64,5.7,107.5,24.1,80.3,2.09
Cotton,Central Valley,Alluvial,Spring,6.31,16.9,1118.2,51.5,741.8,231.6,1.76,26.6,93.4,56.2,94.1,1.76
Cotton,Pacific Northwest,Black Soil,Kharif,5.96,31.3,1669.6,44.2,578.6,175.1,1.53,21.8,76.1,15.4,94.4,1.51
Rice,Delta Region,Black Soil,Kharif,6.33,20.1,1516.2,60.4,185.3,148.0,4.27,26.5,122.0,33.3,73.6,3.94
Tomato,Southeast,Black Soil,Summer,6.39,20.1,1150.6,67.9,243.0,178.6,14.52,49.6,107.7,84.2,77.8,15.53
Cotton,Pacific Northwest,Silt Loam,Rabi,7.18,31.0,997.6,75.0,229.4,99.3,1.71,42.9,96.1,38.7,75.1,1.88
Soybean,Pacific Northwest,Alluvial,Kharif,8.09,16.1,482.1,47.3,840.7,150.1,2.11,8.9,49.0,30.5,28.0,1.87
Rice,Pacific Northwest,Silt Loam,Spring,6.76,30.2,1216.3,87.3,756.2,197.3,3.66,31.1,101.5,29.1,85.7,3.65
Cotton,Delta Region,Sandy Loam,Rabi,7.0,26.3,685.9,48.5,128.8,105.0,1.07,2.6,40.0,26.0,119.7,1.47
Cotton,Great Plains,Sandy Loam,Spring,5.8,16.3,1370.3,86.0,539.7,217.0,1.74,20.9,118.3,55.8,54.7,1.65
Cotton,Southeast,Clay,Autumn,6.56,24.1,356.7,48.8,505.0,178.5,2.3,48.2,110.4,38.8,31.7,2.11
Tomato,Southeast,Black Soil,Autumn,6.53,23.5,1051.3,52.2,371.7,228.4,17.27,13.3,135.4,77.8,106.2,17.83
Potato,Central Valley,Sandy Loam,Kharif,7.57,20.4,1366.7,80.0,429.9,131.2,20.1,19.8,115.0,64.1,46.3,16.14
Corn,Central Valley,Silt Loam,Summer,7.99,25.5,862.6,84.7,315.3,267.8,4.61,4.7,135.6,78.7,69.9,4.46
Wheat,Midwest,Alluvial,Rabi,5.82,20.1,712.1,70.9,224.8,74.5,3.3,43.8,168.8,62.3,86.3,3.18
Tomato,Central Valley,Black Soil,Kharif,6.31,22.3,1652.3,84.0,559.6,113.2,16.45,42.6,65.6,68.5,71.1,16.41
Potato,Midwest,Black Soil,Rabi,7.6,25.6,1134.1,65.1,415.0,207.9,14.43,3.7,64.5,83.4,89.8,13.32
Potato,Southeast,Alluvial,Kharif,5.83,27.6,821.9,70.6,307.8,176.2,12.95,1.6,73.2,48.0,81.3,13.31
Corn,Midwest,Silt Loam,Spring,7.3,23.4,1588.8,54.0,243.9,80.2,4.42,11.3,120.6,31.0,30.0,4.73
Corn,Midwest,Black Soil,Spring,5.79,32.0,1420.9,63.6,107.8,146.9,2.77,43.0,58.8,77.5,83.1,4.07
Tomato,Pacific Northwest,Sandy Loam,Spring,6.89,27.4,927.7,74.5,148.0,237.2,21.36,15.7,106.7,59.1,65.0,17.96
Corn,Southeast,Sandy Loam,Summer,8.0,21.2,378.8,46.1,793.9,271.5,4.36,28.5,67.9,55.3,84.9,4.03
Wheat,Southeast,Sandy Loam,Summer,6.66,30.7,1640.0,59.1,329.2,195.3,2.52,34.0,60.3,26.7,100.8,2.55
Corn,Great Plains,Alluvial,Autumn,7.75,17.4,584.9,51.4,353.5,117.0,3.83,29.0,77.4,60.1,47.1,4.34
Potato,Southeast,Alluvial,Autumn,6.55,19.3,1588.6,46.3,287.7,107.9,16.54,26.5,144.1,67.5,41.1,16.56
Potato,Central Valley,Loamy,Kharif,6.62,17.1,1467.9,66.2,896.8,73.9,16.07,46.9,126.5,20.9,113.2,14.06
Potato,Southeast,Clay,Rabi,6.53,18.5,1113.8,48.5,128.1,132.1,13.36,37.1,168.1,75.5,66.7,14.42
Cotton,Delta Region,Sandy Loam,Autumn,8.11,30.0,606.7,69.9,604.8,196.2,1.47,22.8,119.0,51.6,84.0,1.59
Corn,Southeast,Silt Loam,Autumn,5.47,22.2,947.7,47.8,108.4,170.4,4.43,12.1,146.2,24.5,48.7,4.37
Tomato,Central Valley,Alluvial,Spring,6.63,16.2,974.1,54.6,285.0,51.7,19.92,47.4,92.3,43.8,76.1,18.5
Potato,Midwest,Clay,Spring,5.86,17.6,1256.7,65.8,740.0,191.0,13.71,41.6,137.1,34.0,84.8,14.0
Tomato,Southeast,Silt Loam,Rabi,5.75,21.8,1273.5,70.9,317.7,193.2,15.08,42.8,66.3,16.4,25.0,16.58
Tomato,Central Valley,Clay,Kharif,5.58,24.8,361.9,44.5,111.8,100.0,19.6,14.8,98.8,70.0,69.8,16.86
Corn,Great Plains,Alluvial,Kharif,7.73,35.0,431.3,78.8,157.1,158.1,4.83,17.2,66.9,73.9,101.7,4.08
Cotton,Central Valley,Loamy,Rabi,8.12,20.9,1792.1,50.0,688.3,71.6,2.05,19.9,133.2,29.6,58.9,1.67
Corn,Southeast,Clay,Kharif,6.85,18.4,1047.8,54.9,388.3,62.0,4.24,37.5,133.3,83.1,43.6,4.37
Potato,Southeast,Loamy,Rabi,6.95,23.9,702.5,88.4,564.9,208.9,12.97,39.9,136.4,25.8,97.1,13.76
Wheat,Midwest,Silt Loam,Kharif,6.22,35.4,1451.4,43.0,384.4,85.4,2.45,34.6,115.1,22.5,68.8,2.81
Corn,Delta Region,Alluvial,Summer,6.52,19.9,1349.4,57.9,207.8,256.7,3.72,40.5,107.9,45.6,49.5,4.62
Soybean,Great Plains,Clay,Autumn,6.24,30.6,749.2,81.6,831.6,177.5,1.51,10.1,49.6,25.9,49.6,2.08
Corn,Delta Region,Sandy Loam,Spring,7.11,23.6,619.0,40.9,785.5,228.5,4.75,1.0,73.4,65.5,85.8,4.62
Tomato,Great Plains,Clay,Autumn,7.5,19.1,760.5,60.5,357.6,72.1,16.53,34.5,132.2,18.1,113.8,16.23
Wheat,Central Valley,Clay,Kharif,5.5,27.4,1562.6,72.9,520.7,211.3,3.18,24.8,75.8,40.6,80.6,2.97
Rice,Central Valley,Clay,Spring,7.7,25.4,1276.4,58.0,694.8,254.8,3.87,46.5,155.1,70.6,25.8,3.58
Tomato,Southeast,Black Soil,Kharif,7.7,17.6,663.1,66.0,181.0,103.1,17.02,37.0,93.9,28.5,85.7,16.38
Tomato,Pacific Northwest,Clay,Autumn,6.45,18.1,1276.0,57.9,467.0,203.0,18.83,37.7,163.6,26.7,38.0,16.62
Potato,Delta Region,Sandy Loam,Rabi,7.0,34.7,1658.6,67.5,897.5,244.3,11.57,27.2,97.7,59.3,102.6,12.44
Corn,Delta Region,Clay,Autumn,6.33,27.0,1429.6,58.0,461.9,270.8,4.72,27.7,40.0,17.4,48.4,4.7
Rice,Delta Region,Clay,Summer,8.15,20.3,806.6,78.6,854.7,239.1,3.81,1.3,168.7,50.8,77.1,3.5
Tomato,Midwest,Loamy,Kharif,5.67,21.3,1640.0,52.5,305.0,119.1,16.54,23.6,119.9,54.8,41.7,15.34
Rice,Pacific Northwest,Sandy Loam,Spring,7.68,29.8,1185.5,85.4,576.2,119.1,3.91,9.5,142.3,55.3,27.8,3.49
Rice,Southeast,Sandy Loam,Spring,7.8,33.4,678.7,72.6,581.8,52.6,4.03,21.4,148.8,41.8,50.5,3.23
Rice,Southeast,Black Soil,Autumn,6.71,20.4,423.3,76.6,414.3,152.5,4.39,8.3,123.3,50.3,42.2,4.07
Corn,Great Plains,Clay,Rabi,6.63,30.9,1144.8,53.1,418.8,149.9,4.78,17.5,137.7,68.3,68.1,4.9
Wheat,Great Plains,Silt Loam,Autumn,7.05,30.7,707.1,43.6,721.4,124.4,4.0,10.6,169.4,21.3,87.2,3.51
Potato,Southeast,Sandy Loam,Rabi,6.98,16.5,792.0,89.4,593.0,277.7,10.5,16.7,101.9,25.2,24.5,12.23
Cotton,Midwest,Clay,Summer,7.39,17.7,1422.4,52.2,596.8,84.0,1.63,8.6,156.5,35.1,54.3,1.54
Cotton,Central Valley,Sandy Loam,Spring,6.2,30.8,657.2,67.3,700.3,176.2,1.94,24.1,127.2,84.5,89.5,1.79
Soybean,Central Valley,Silt Loam,Autumn,6.78,21.1,437.2,50.0,657.2,112.4,2.26,45.4,105.1,81.2,26.7,2.11
Soybean,Southeast,Alluvial,Summer,5.26,33.3,1291.6,51.6,404.6,274.6,2.0,43.3,53.9,37.1,106.7,1.88
Tomato,Central Valley,Clay,Rabi,6.57,34.5,381.2,52.4,523.5,126.7,15.51,25.5,95.1,26.0,54.7,15.39
Corn,Southeast,Alluvial,Summer,8.13,26.0,1527.2,71.3,802.9,254.8,3.93,12.6,154.1,17.1,75.5,4.18
Corn,Midwest,Clay,Summer,7.17,17.8,904.2,88.0,590.0,193.9,3.94,45.0,71.8,31.8,35.3,4.62
Corn,Delta Region,Sandy Loam,Spring,5.82,18.8,1135.0,80.0,790.1,121.1,4.94,27.6,138.7,51.7,33.5,4.29
Cotton,Midwest,Alluvial,Autumn,6.15,27.1,1725.5,45.9,354.1,252.3,1.57,45.9,141.8,68.6,108.0,1.74
Potato,Great Plains,Sandy Loam,Spring,7.67,28.7,1420.6,47.6,250.3,80.3,13.25,37.5,43.7,84.0,81.7,12.57
Tomato,Delta Region,Black Soil,Rabi,5.89,16.5,465.2,79.0,207.3,244.6,24.91,30.2,105.6,60.5,38.4,19.72
Potato,Great Plains,Silt Loam,Rabi,5.88,24.2,1754.8,86.3,860.2,101.2,17.0,9.0,134.0,29.2,40.5,14.29
Wheat,Great Plains,Black Soil,Spring,7.8,33.8,970.0,78.8,586.3,239.6,3.18,34.7,140.8,42.6,113.9,3.2
Tomato,Delta Region,Black Soil,Autumn,7.31,16.8,508.5,62.8,802.2,251.9,16.31,32.4,74.4,52.7,118.4,18.2
Rice,Delta Region,Silt Loam,Autumn,8.09,19.8,987.4,84.2,718.9,115.8,4.2,38.5,63.3,35.6,111.9,3.54
Soybean,Delta Region,Clay,Spring,6.56,30.5,514.1,78.9,850.3,210.1,2.41,41.7,58.9,43.9,65.1,2.42
Wheat,Great Plains,Black Soil,Rabi,5.47,22.5,1290.4,75.6,231.2,218.7,3.5,44.2,52.8,64.4,83.4,3.08
Rice,Delta Region,Alluvial,Spring,8.13,28.2,581.9,67.5,135.1,89.3,3.39,36.6,86.9,76.0,106.3,3.29
Wheat,Midwest,Clay,Kharif,6.13,31.4,997.1,71.3,194.0,80.3,3.16,21.6,68.4,58.6,45.3,3.03
Potato,Great Plains,Silt Loam,Autumn,7.02,25.9,664.5,73.0,463.0,151.6,14.89,40.6,124.2,15.5,108.2,13.32
Corn,Delta Region,Alluvial,Autumn,5.82,19.7,429.8,57.5,216.3,57.5,4.86,41.2,120.9,57.2,53.1,4.42
Rice,Central Valley,Loamy,Spring,5.68,21.7,1308.3,75.0,557.8,179.3,4.12,49.7,175.3,67.5,56.0,3.96
Rice,Central Valley,Sandy Loam,Summer,6.34,17.4,969.6,67.5,334.3,80.9,4.28,19.1,137.2,34.2,72.7,3.83
Tomato,Midwest,Alluvial,Rabi,5.53,30.6,1262.0,89.4,486.9,208.4,17.81,31.0,170.7,84.0,48.7,16.7
Tomato,Southeast,Sandy Loam,Autumn,7.07,34.5,1240.7,64.8,683.3,164.5,19.16,29.2,153.1,76.9,43.3,17.03
Corn,Midwest,Loamy,Kharif,7.08,18.4,1579.7,80.0,899.2,145.2,4.79,2.2,86.7,54.2,83.8,4.16
